id,title,description,createdAt,endedAt,serviceId,user_description,service_based_form,target_date,reissuedCopyOf,tradeClassificationType,state,stateText,sbf_form_text
11096465,"Balkon mit Fliesenbelag (ca. 5,8 m2) sanieren / 1. OG","(1) Entfernen von Fliesenbelag und Gef?§lleestrich  (2) Untergundvorbereitung Betonbodenplatte    (3) Hohlkehlenausbildung (ca. 6 lfd m)  (4) Abdichtung  - riss?ºberbr?ºckende, bitumenfreie Dickbeschichtung zweilagig auf den vorbereitenden Untergrund auftragen   - die Abdichtung wird bis > 5cm ?ºber der geplanten Oberkante des Gel?§ndes aufgetragen um den Sockelputz vor Durchfeuchtung im Bereich der Gel?§ndeoberkante zu sch?ºtzen  - in die erste Lage wird im frischen Zustand ein Gewebe eingebettet  - Anschlie?üend erfolgt der Auftrag der zweiten Lage.   - die Gesamtschichtdicke der durchgetrockneten Abdichtung betr?§gt mind. 4 mm  (5) Gef?§lleestrich verlegen  (6) Dicht- / Entkopplungsbahn verlegen (auf grundiertem Untergrund  (7) Abdichten der Wandanschlussfugen (mit Dichtband) ca 6 lfd m  (8) Schenkelplatten verlegen ca. 4,5 lfd m (schenkelplatten bauseits vorhanden)  (9) Fliesenbelag verlegen ca. 5,8 m2 (Fliesenbelag bauseits vorhanden)  (10) Fliesenbelag verfugen  (11) Sockelfliesen setzen (schneiden, verlegen, verfugen)  (12) Elastische Verf?ºgung (Bewegung- und Abschlussfugen",5/30/2019 10:29,7/10/2019 11:25,08130,"(1) Entfernen von Fliesenbelag und Gef?§lleestrich  (2) Untergundvorbereitung Betonbodenplatte    (3) Hohlkehlenausbildung (ca. 6 lfd m)  (4) Abdichtung  - riss?ºberbr?ºckende, bitumenfreie Dickbeschichtung zweilagig auf den vorbereitenden Untergrund auftragen   - die Abdichtung wird bis > 5cm ?ºber der geplanten Oberkante des Gel?§ndes aufgetragen um den Sockelputz vor Durchfeuchtung im Bereich der Gel?§ndeoberkante zu sch?ºtzen  - in die erste Lage wird im frischen Zustand ein Gewebe eingebettet  - Anschlie?üend erfolgt der Auftrag der zweiten Lage.   - die Gesamtschichtdicke der durchgetrockneten Abdichtung betr?§gt mind. 4 mm  (5) Gef?§lleestrich verlegen  (6) Dicht- / Entkopplungsbahn verlegen (auf grundiertem Untergrund  (7) Abdichten der Wandanschlussfugen (mit Dichtband) ca 6 lfd m  (8) Schenkelplatten verlegen ca. 4,5 lfd m (schenkelplatten bauseits vorhanden)  (9) Fliesenbelag verlegen ca. 5,8 m2 (Fliesenbelag bauseits vorhanden)  (10) Fliesenbelag verfugen  (11) Sockelfliesen setzen (schneiden, verlegen, verfugen)  (12) Elastische Verf?ºgung (Bewegung- und Abschlussfugen",0,Zeitnah,0,1.0,0,active,
11105910,Wir suchen Subunternehmer f?ºr Winterdienst Arbeiten,Wir Arbeiten mit vielen Gro?üen Firmen zusammen die immer wieder Arbeiten f?ºr uns zur Verf?ºgung stellen! Daher suchen wir immer wider Ambitionierte Neue Subunternehmer.     Wir Sprechen auch Russisch,5/31/2019 8:53,7/9/2019 8:29,09010,Wir Arbeiten mit vielen Gro?üen Firmen zusammen die immer wieder Arbeiten f?ºr uns zur Verf?ºgung stellen! Daher suchen wir immer wider Ambitionierte Neue Subunternehmer.     Wir Sprechen auch Russisch,0,In 3 bis 6 Monaten,0,4.0,0,active,
11289195,Schornstein zu Ziegel abdichten,"Die Abdichtung vom Schornstein zu den Dachziegel ist kaputt und muss erneuert werden. Material sollte vom Handwerker besorgt werden, damit mit vertrautem Material gearbeitet werden kann.",6/14/2019 11:10,7/17/2019 10:52,01060,"Die Abdichtung vom Schornstein zu den Dachziegel ist kaputt und muss erneuert werden. Material sollte vom Handwerker besorgt werden, damit mit vertrautem Material gearbeitet werden kann.",0,Zeitnah,0,1.0,0,active,
11991226,Gehweg auf ca. 17 x 3 Meter streuen,"Es soll im Winter bei gesetzlicher Notwendigkeit der Gehweg auf einer L?§nge von ca. 17 Meter und einer Breite von ca. 3 Meter gestreut werden. Wir sind eine Eigent?ºmergemeinschaft und erledigen die Arbeiten zur Zeit noch selber, ?ºberlegen nun aber diese an eine professionelle Firma abzugeben.Das Objekt befindet sich in 64823 Gro?ü-Umstadt.",8/5/2019 17:18,9/4/2019 17:18,09010,"Es soll im Winter bei gesetzlicher Notwendigkeit der Gehweg auf einer L?§nge von ca. 17 Meter und einer Breite von ca. 3 Meter gestreut werden. Wir sind eine Eigent?ºmergemeinschaft und erledigen die Arbeiten zur Zeit noch selber, ?ºberlegen nun aber diese an eine professionelle Firma abzugeben.Das Objekt befindet sich in 64823 Gro?ü-Umstadt.",0,In 3 bis 6 Monaten,0,4.0,0,active,
12056087,Geradl?§ufige Betontreppe f?ºr Neubau,- Gerade Betontreppe (Fertigteil oder vor Ort gegossen) inkl. Einbau f?ºr den Innenbereich ben??tigt - Wird sp?§ter mit Holz-Stufen belegt - Material wird ben??tigt - Voraussichtlich im Fr?ºhjahr 2020 (Neubau),8/10/2019 13:34,9/9/2019 13:34,10010,- Gerade Betontreppe (Fertigteil oder vor Ort gegossen) inkl. Einbau f?ºr den Innenbereich ben??tigt - Wird sp?§ter mit Holz-Stufen belegt - Material wird ben??tigt - Voraussichtlich im Fr?ºhjahr 2020 (Neubau),0,In 3 bis 6 Monaten,0,2.0,0,active,
12071087,Einbauschrank im Flur,"150m breit, 250 hoch, 55 tief  links 50 cm breit Schubladen rechte Seite was zum H?§ngen oben und unten jeweils T?ºren",8/11/2019 18:57,9/10/2019 18:57,07010,"150m breit, 250 hoch, 55 tief  links 50 cm breit Schubladen rechte Seite was zum H?§ngen oben und unten jeweils T?ºren",0,In den n?§chsten 3 Monaten,0,1.0,0,active,
12157537,Balkonsanierung mit Dachrinne,Der Balkon muss saniert werden inkl. Metalleinfassung und Dachrinne mit Anschluss an Fallrohr.     Fliesenlegen optional.   ggf. neues Gel?§nder anbauen.,8/18/2019 17:46,9/17/2019 17:46,08130,Der Balkon muss saniert werden inkl. Metalleinfassung und Dachrinne mit Anschluss an Fallrohr.     Fliesenlegen optional.   ggf. neues Gel?§nder anbauen.,0,Zeitnah,0,1.0,0,active,
12159552,2x Kernbohrung f?ºr Dunstabzug (EFH),Wir wollen in zwei EFH jeweils in der K?ºche eine Kernbohrung (150mm) durchf?ºhren lassen f?ºr den sp?§teren Dunstabzug.  Die H?§user befinden sich jeweils im Rohbau.,8/18/2019 20:01,9/17/2019 20:01,12130,Wir wollen in zwei EFH jeweils in der K?ºche eine Kernbohrung (150mm) durchf?ºhren lassen f?ºr den sp?§teren Dunstabzug.  Die H?§user befinden sich jeweils im Rohbau.,0,Zeitnah,0,2.0,0,active,
12303114,Holztreppe f?ºr Hochbett,"Hallo, wir suchen jemanden der uns eine Holzleiter f?ºr das Hochbett baut. Senkrechte H??he sind 2,18m.  Lieben Dank f?ºr Ideen und Angebote",8/29/2019 15:22,9/28/2019 15:22,10010,"Hallo, wir suchen jemanden der uns eine Holzleiter f?ºr das Hochbett baut. Senkrechte H??he sind 2,18m.  Lieben Dank f?ºr Ideen und Angebote",0,Zeitnah,0,2.0,0,active,
12774014,Anfertigung eines Garderobenschranks,"Wir suchen jemanden der/die uns einen Garderobenschrank im Eingangsbereich der Wohnung anfertigen kann. Ca 2m x 40cm Schlicht, gern aus Holz. Ortsbesichtigung selbstverst?§ndlich.",10/5/2019 20:57,11/4/2019 20:57,07010,"Wir suchen jemanden der/die uns einen Garderobenschrank im Eingangsbereich der Wohnung anfertigen kann. Ca 2m x 40cm Schlicht, gern aus Holz. Ortsbesichtigung selbstverst?§ndlich.",0,Zeitnah,0,1.0,0,active,
